ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
28501,Gujarat,Ahmedabad,Locality_220,Villa,1,1856,118.34,0.06,1997,Unfurnished,28,30,28,6,9,Medium,No,No,"Gym, Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
210585,Uttarakhand,Haridwar,Locality_270,Independent House,5,3606,475.63,0.13,2009,Semi-furnished,2,20,16,5,4,Medium,No,Yes,Garden,West,Builder,Under_Construction
63574,Andhra Pradesh,Vishakhapatnam,Locality_483,Independent House,4,2993,180.63,0.06,1995,Semi-furnished,11,11,30,1,3,High,Yes,Yes,Pool,West,Builder,Under_Construction
207602,Chhattisgarh,Bilaspur,Locality_227,Independent House,2,4097,172.51,0.04,2012,Furnished,15,8,13,10,8,Low,Yes,Yes,"Pool, Playground, Gym, Garden, Clubhouse",West,Builder,Ready_to_Move
100944,Karnataka,Mysore,Locality_471,Apartment,1,2071,251.07,0.12,2022,Semi-furnished,30,4,3,2,7,Medium,No,No,"Gym, Garden, Clubhouse, Playground",West,Builder,Ready_to_Move
23990,Gujarat,Surat,Locality_248,Apartment,5,3160,126.62,0.04,2007,Furnished,27,10,18,5,6,Low,No,Yes,"Gym, Playground, Clubhouse, Pool, Garden",West,Builder,Ready_to_Move
46608,Delhi,New Delhi,Locality_339,Independent House,4,1055,193.63,0.18,1990,Furnished,28,21,35,9,2,Low,Yes,No,Garden,North,Broker,Under_Construction
3757,Gujarat,Surat,Locality_42,Independent House,4,962,414.11,0.43,2006,Semi-furnished,21,11,19,8,2,Low,No,No,"Pool, Clubhouse, Gym",South,Broker,Under_Construction
141185,Bihar,Patna,Locality_377,Apartment,1,4148,247.99,0.06,2015,Furnished,5,1,10,1,6,Low,No,No,"Garden, Pool, Clubhouse, Playground",South,Broker,Under_Construction
122268,Tamil Nadu,Chennai,Locality_99,Independent House,5,4609,120.65,0.03,2017,Unfurnished,1,3,8,5,6,High,No,Yes,"Gym, Pool, Garden, Clubhouse, Playground",East,Owner,Under_Construction
173352,Bihar,Gaya,Locality_208,Independent House,3,4541,476.36,0.1,2001,Semi-furnished,21,24,24,3,4,Medium,No,No,Pool,North,Broker,Under_Construction
142710,Bihar,Patna,Locality_456,Villa,5,960,312.21,0.33,2006,Semi-furnished,2,28,19,2,10,High,No,No,Clubhouse,North,Broker,Ready_to_Move
88514,Rajasthan,Jodhpur,Locality_48,Apartment,4,967,43.25,0.04,2016,Furnished,23,14,9,10,1,High,Yes,Yes,"Garden, Clubhouse, Gym",East,Owner,Ready_to_Move
245802,Madhya Pradesh,Indore,Locality_446,Independent House,5,3216,40.36,0.01,2007,Furnished,18,2,18,1,1,High,No,No,"Clubhouse, Pool",South,Builder,Ready_to_Move
208345,Gujarat,Surat,Locality_255,Apartment,3,3423,17.39,0.01,2010,Unfurnished,11,13,15,6,2,Medium,Yes,No,"Gym, Garden, Clubhouse, Pool",North,Broker,Under_Construction
178730,West Bengal,Durgapur,Locality_198,Villa,1,2648,285.2,0.11,2003,Semi-furnished,5,13,22,4,9,Medium,Yes,No,"Gym, Garden, Clubhouse",South,Owner,Under_Construction
73448,Jharkhand,Jamshedpur,Locality_217,Villa,3,3244,90.3,0.03,2008,Unfurnished,5,7,17,6,3,Medium,Yes,No,"Garden, Gym, Playground",West,Builder,Ready_to_Move
117221,Telangana,Warangal,Locality_250,Apartment,1,2321,248.64,0.11,2005,Unfurnished,24,10,20,1,6,Medium,No,No,"Pool, Clubhouse, Garden",North,Builder,Under_Construction
29730,Tamil Nadu,Coimbatore,Locality_183,Apartment,4,3353,206.77,0.06,1990,Furnished,10,1,35,3,2,Medium,Yes,No,"Clubhouse, Pool",North,Broker,Under_Construction
230952,Delhi,New Delhi,Locality_226,Apartment,2,1301,141.87,0.11,2007,Furnished,23,24,18,8,7,High,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",South,Broker,Under_Construction
77590,Jharkhand,Ranchi,Locality_359,Independent House,4,3276,36.26,0.01,2008,Unfurnished,12,19,17,5,6,Medium,No,Yes,"Playground, Pool, Garden, Clubhouse, Gym",East,Owner,Under_Construction
96821,Tamil Nadu,Chennai,Locality_108,Villa,3,860,175.29,0.2,2008,Semi-furnished,22,25,17,2,5,High,No,No,"Playground, Gym",West,Owner,Under_Construction
149689,Kerala,Trivandrum,Locality_358,Apartment,5,1561,361.75,0.23,2002,Furnished,29,7,23,6,10,Medium,No,No,"Gym, Pool",North,Builder,Under_Construction
233208,Telangana,Warangal,Locality_193,Villa,3,3093,16.33,0.01,2011,Furnished,11,17,14,10,5,High,No,Yes,"Garden, Playground, Gym, Clubhouse, Pool",East,Builder,Under_Construction
27624,Gujarat,Ahmedabad,Locality_450,Villa,1,4439,490.14,0.11,1997,Furnished,12,1,28,3,7,Medium,No,No,"Pool, Gym, Garden, Clubhouse, Playground",South,Builder,Ready_to_Move
239771,Andhra Pradesh,Vishakhapatnam,Locality_219,Independent House,4,4670,354.71,0.08,2005,Furnished,10,5,20,10,1,Low,Yes,No,"Pool, Playground",North,Builder,Ready_to_Move
102151,Andhra Pradesh,Vishakhapatnam,Locality_332,Independent House,3,4864,134.41,0.03,2013,Unfurnished,12,13,12,7,4,High,No,Yes,"Playground, Garden, Gym, Pool, Clubhouse",South,Broker,Under_Construction
103922,Karnataka,Mysore,Locality_99,Independent House,3,2926,354.09,0.12,2000,Furnished,19,2,25,8,9,Low,Yes,No,"Clubhouse, Gym, Playground, Pool",South,Builder,Under_Construction
157682,Punjab,Amritsar,Locality_188,Apartment,3,2302,256.62,0.11,2003,Semi-furnished,29,9,22,7,5,Low,No,Yes,Garden,West,Builder,Ready_to_Move
248771,Uttar Pradesh,Noida,Locality_19,Apartment,3,3237,277.55,0.09,2003,Unfurnished,29,27,22,5,5,High,Yes,No,"Gym, Clubhouse, Playground, Garden, Pool",North,Builder,Ready_to_Move
78399,Jharkhand,Ranchi,Locality_184,Independent House,4,785,355.86,0.45,2017,Unfurnished,25,27,8,2,3,Low,Yes,Yes,"Playground, Pool, Garden",West,Broker,Ready_to_Move
12413,Assam,Silchar,Locality_375,Independent House,2,4622,359.99,0.08,2012,Unfurnished,28,21,13,2,4,High,Yes,Yes,"Gym, Clubhouse, Garden, Playground, Pool",East,Broker,Ready_to_Move
105409,Gujarat,Surat,Locality_99,Villa,4,882,305.26,0.35,1998,Unfurnished,8,13,27,3,5,High,Yes,No,"Pool, Gym, Clubhouse, Playground, Garden",East,Owner,Ready_to_Move
150796,Madhya Pradesh,Bhopal,Locality_205,Villa,2,2947,167.1,0.06,2010,Semi-furnished,15,22,15,6,3,Medium,Yes,Yes,"Garden, Clubhouse, Gym",North,Owner,Ready_to_Move
13686,Uttar Pradesh,Noida,Locality_402,Apartment,3,1504,13.56,0.01,2021,Furnished,24,12,4,10,7,Low,No,Yes,"Clubhouse, Pool, Garden",West,Broker,Ready_to_Move
80012,Uttar Pradesh,Lucknow,Locality_13,Villa,4,2673,239.32,0.09,2013,Semi-furnished,7,16,12,4,7,High,Yes,No,"Playground, Clubhouse, Pool, Garden",West,Builder,Ready_to_Move
90277,Bihar,Patna,Locality_276,Independent House,2,2605,402.84,0.15,2016,Semi-furnished,15,5,9,9,5,Low,Yes,No,Clubhouse,West,Broker,Under_Construction
114538,West Bengal,Durgapur,Locality_474,Independent House,3,2629,208.77,0.08,2022,Semi-furnished,9,30,3,7,5,Low,Yes,Yes,"Pool, Clubhouse, Garden, Playground",North,Owner,Under_Construction
202148,Uttarakhand,Haridwar,Locality_291,Apartment,5,2834,473.02,0.17,2005,Semi-furnished,30,10,20,1,9,Medium,Yes,Yes,"Pool, Garden, Clubhouse, Gym",East,Broker,Ready_to_Move
198498,Gujarat,Surat,Locality_160,Villa,1,612,269.61,0.44,2008,Unfurnished,4,29,17,2,9,High,No,Yes,"Pool, Garden, Gym, Clubhouse",West,Builder,Under_Construction
192576,Gujarat,Ahmedabad,Locality_25,Villa,3,3330,289.19,0.09,2011,Semi-furnished,23,7,14,5,9,High,Yes,Yes,"Playground, Clubhouse, Gym, Garden",West,Builder,Under_Construction
18720,Kerala,Trivandrum,Locality_324,Apartment,5,1616,87.93,0.05,2019,Furnished,19,24,6,10,7,High,Yes,Yes,"Pool, Garden, Playground, Clubhouse",West,Broker,Under_Construction
146299,Haryana,Faridabad,Locality_49,Apartment,4,3350,17.49,0.01,2021,Unfurnished,2,1,4,9,2,Medium,Yes,No,"Garden, Clubhouse",West,Owner,Under_Construction
29413,Rajasthan,Jodhpur,Locality_340,Apartment,5,2866,296.76,0.1,2011,Unfurnished,23,27,14,9,8,High,Yes,Yes,Playground,West,Builder,Under_Construction
101207,Tamil Nadu,Coimbatore,Locality_413,Apartment,3,2768,427.93,0.15,2012,Unfurnished,16,27,13,1,9,Medium,No,No,"Pool, Clubhouse, Playground",North,Owner,Under_Construction
205711,West Bengal,Kolkata,Locality_460,Apartment,3,1426,257.58,0.18,2012,Unfurnished,18,10,13,7,7,Medium,Yes,No,"Garden, Clubhouse, Pool, Gym",North,Owner,Under_Construction
155497,West Bengal,Kolkata,Locality_57,Apartment,4,4401,128.36,0.03,2016,Semi-furnished,16,18,9,8,1,Medium,No,Yes,"Playground, Gym, Garden, Pool",North,Owner,Under_Construction
156692,Jharkhand,Jamshedpur,Locality_324,Independent House,4,874,309.64,0.35,1999,Unfurnished,14,4,26,6,1,Medium,Yes,No,"Garden, Pool, Clubhouse",South,Broker,Ready_to_Move
135383,Maharashtra,Nagpur,Locality_427,Independent House,4,3918,455.3,0.12,1992,Furnished,24,14,33,5,5,High,No,No,"Clubhouse, Playground, Pool, Garden",North,Builder,Under_Construction
186730,Gujarat,Surat,Locality_157,Independent House,5,3133,99.79,0.03,2008,Unfurnished,2,8,17,2,5,Low,Yes,Yes,"Garden, Gym",South,Owner,Ready_to_Move
76413,Tamil Nadu,Coimbatore,Locality_242,Villa,1,1030,39.43,0.04,2013,Furnished,3,15,12,4,1,Low,Yes,No,"Clubhouse, Garden, Gym",West,Owner,Under_Construction
64723,Delhi,New Delhi,Locality_151,Apartment,4,4770,316.29,0.07,2021,Unfurnished,22,21,4,1,9,High,No,No,"Clubhouse, Pool, Garden",West,Owner,Ready_to_Move
232692,Delhi,Dwarka,Locality_197,Independent House,1,901,20.8,0.02,2023,Furnished,21,23,2,3,3,Low,Yes,No,Pool,North,Owner,Ready_to_Move
139562,Karnataka,Mangalore,Locality_361,Independent House,3,4791,230.67,0.05,2018,Semi-furnished,29,6,7,6,4,Low,Yes,No,"Pool, Clubhouse",East,Builder,Under_Construction
63190,Andhra Pradesh,Vishakhapatnam,Locality_14,Apartment,3,2849,239.3,0.08,2014,Semi-furnished,17,12,11,5,8,Medium,Yes,Yes,"Pool, Clubhouse, Gym, Garden, Playground",North,Broker,Under_Construction
178908,Gujarat,Ahmedabad,Locality_94,Villa,1,688,86.38,0.13,2021,Furnished,8,26,4,3,10,High,No,Yes,"Garden, Pool",East,Builder,Under_Construction
95210,Punjab,Amritsar,Locality_399,Apartment,1,4879,272.89,0.06,1992,Semi-furnished,11,17,33,3,2,Medium,No,No,"Playground, Pool",East,Broker,Ready_to_Move
59031,Tamil Nadu,Coimbatore,Locality_210,Villa,1,4817,273.19,0.06,2004,Furnished,25,8,21,6,10,Medium,No,No,"Clubhouse, Pool, Playground, Gym, Garden",North,Builder,Under_Construction
24961,Haryana,Faridabad,Locality_163,Apartment,2,3414,220.01,0.06,2019,Unfurnished,7,24,6,3,8,Low,No,Yes,"Clubhouse, Garden, Pool",East,Builder,Ready_to_Move
76671,Jharkhand,Jamshedpur,Locality_77,Independent House,4,1549,269.51,0.17,1999,Semi-furnished,13,13,26,7,7,Medium,No,Yes,Pool,East,Owner,Under_Construction
66682,Jharkhand,Jamshedpur,Locality_370,Villa,4,2170,30.8,0.01,2017,Furnished,22,26,8,9,6,Low,No,No,"Gym, Garden, Pool, Clubhouse, Playground",West,Broker,Under_Construction
21059,Delhi,New Delhi,Locality_443,Independent House,5,1720,24.34,0.01,2012,Furnished,8,22,13,5,4,Medium,Yes,No,"Playground, Clubhouse, Pool, Gym, Garden",West,Broker,Ready_to_Move
105656,Bihar,Patna,Locality_124,Apartment,3,663,484.37,0.73,2022,Semi-furnished,17,6,3,9,9,High,Yes,No,"Pool, Clubhouse, Gym",North,Broker,Under_Construction
163226,West Bengal,Durgapur,Locality_333,Independent House,3,3964,214.94,0.05,1992,Semi-furnished,14,19,33,8,1,Low,No,Yes,"Pool, Garden, Playground, Clubhouse, Gym",East,Owner,Under_Construction
232450,Tamil Nadu,Coimbatore,Locality_168,Independent House,5,1822,347.17,0.19,1993,Unfurnished,2,10,32,9,2,High,Yes,Yes,"Gym, Pool, Clubhouse, Garden, Playground",South,Owner,Ready_to_Move
108448,Uttarakhand,Haridwar,Locality_39,Apartment,1,827,46.5,0.06,1996,Unfurnished,24,3,29,4,10,Medium,Yes,No,"Clubhouse, Pool, Garden, Gym, Playground",East,Builder,Under_Construction
68090,Andhra Pradesh,Vishakhapatnam,Locality_175,Villa,1,4674,153.87,0.03,2003,Furnished,25,23,22,3,10,Medium,No,No,"Playground, Pool, Gym",South,Builder,Under_Construction
115723,Karnataka,Bangalore,Locality_306,Apartment,5,1727,302.43,0.18,2012,Furnished,3,17,13,4,1,High,Yes,Yes,"Gym, Garden, Clubhouse",West,Owner,Ready_to_Move
43973,Chhattisgarh,Raipur,Locality_70,Apartment,2,3575,279.48,0.08,2016,Semi-furnished,12,6,9,2,10,Low,No,No,"Garden, Pool, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move
121896,Madhya Pradesh,Indore,Locality_352,Apartment,4,4765,315.35,0.07,2020,Unfurnished,21,26,5,7,4,High,No,Yes,"Pool, Clubhouse",South,Owner,Under_Construction
219982,Madhya Pradesh,Bhopal,Locality_14,Independent House,1,2238,301.3,0.13,2011,Semi-furnished,14,26,14,1,1,Low,No,No,"Clubhouse, Playground",East,Broker,Ready_to_Move
23798,Haryana,Gurgaon,Locality_158,Villa,5,4110,398.67,0.1,2003,Furnished,4,1,22,4,7,Medium,Yes,Yes,"Playground, Garden, Clubhouse",East,Owner,Under_Construction
21767,Tamil Nadu,Coimbatore,Locality_124,Independent House,3,1713,70.75,0.04,2007,Unfurnished,19,2,18,9,9,Low,No,Yes,"Clubhouse, Pool, Garden",South,Owner,Under_Construction
39906,Assam,Guwahati,Locality_331,Apartment,4,1787,239.75,0.13,2008,Semi-furnished,26,14,17,8,8,Low,No,No,"Clubhouse, Pool, Garden, Playground",South,Owner,Under_Construction
95448,Bihar,Patna,Locality_94,Independent House,3,3895,205.39,0.05,2012,Unfurnished,14,8,13,6,1,High,Yes,Yes,"Pool, Garden, Playground",South,Builder,Under_Construction
230531,Uttarakhand,Dehradun,Locality_485,Apartment,1,1847,437.32,0.24,2011,Unfurnished,4,13,14,4,5,High,Yes,Yes,"Gym, Pool, Garden, Playground, Clubhouse",South,Owner,Ready_to_Move
29733,Telangana,Warangal,Locality_26,Villa,1,1980,467.92,0.24,2001,Furnished,4,26,24,6,6,Low,No,Yes,"Pool, Playground",West,Builder,Under_Construction
12838,Uttar Pradesh,Lucknow,Locality_310,Villa,4,1045,203.62,0.19,2014,Furnished,4,12,11,6,7,Medium,Yes,Yes,Garden,North,Broker,Under_Construction
191514,Telangana,Hyderabad,Locality_392,Villa,1,530,382.53,0.72,2019,Unfurnished,26,15,6,2,2,High,No,Yes,"Gym, Pool",South,Owner,Under_Construction
233628,Andhra Pradesh,Vishakhapatnam,Locality_355,Villa,3,4344,469.81,0.11,2004,Furnished,20,29,21,7,5,Low,No,No,"Playground, Garden",East,Builder,Under_Construction
218499,Delhi,New Delhi,Locality_22,Villa,4,2636,428.74,0.16,2013,Unfurnished,7,23,12,4,4,High,No,No,"Garden, Gym, Pool",West,Broker,Under_Construction
128429,Andhra Pradesh,Vishakhapatnam,Locality_306,Villa,2,2161,45.83,0.02,2000,Furnished,26,20,25,2,9,Medium,Yes,No,"Clubhouse, Pool, Playground",South,Broker,Ready_to_Move
61910,Delhi,New Delhi,Locality_474,Independent House,1,3491,336.91,0.1,2017,Furnished,6,20,8,9,2,High,No,No,"Garden, Playground, Pool, Clubhouse",West,Broker,Under_Construction
83166,Madhya Pradesh,Indore,Locality_105,Villa,5,3826,173.47,0.05,1996,Furnished,27,24,29,8,1,Low,Yes,Yes,"Playground, Clubhouse, Garden, Pool",North,Broker,Under_Construction
211043,Madhya Pradesh,Indore,Locality_398,Independent House,5,2816,138.92,0.05,2009,Semi-furnished,8,13,16,5,6,Medium,No,No,Clubhouse,East,Owner,Under_Construction
117753,Rajasthan,Jodhpur,Locality_252,Independent House,1,4586,91.35,0.02,2020,Furnished,12,9,5,8,4,Low,No,No,"Clubhouse, Pool, Playground, Gym",North,Owner,Under_Construction
180036,Haryana,Faridabad,Locality_19,Independent House,4,2064,200.52,0.1,2001,Unfurnished,9,2,24,10,2,Medium,Yes,No,"Gym, Clubhouse",North,Owner,Ready_to_Move
202366,Haryana,Faridabad,Locality_453,Apartment,5,4103,211.04,0.05,2008,Semi-furnished,0,11,17,6,3,High,No,No,"Gym, Pool",West,Builder,Ready_to_Move
164436,Punjab,Ludhiana,Locality_131,Villa,4,4419,25.85,0.01,1990,Unfurnished,23,2,35,9,10,High,No,Yes,"Playground, Pool, Garden, Gym",South,Builder,Ready_to_Move
119496,Madhya Pradesh,Indore,Locality_369,Independent House,2,4144,223.97,0.05,2003,Furnished,30,20,22,1,3,Low,Yes,No,"Gym, Garden, Pool, Clubhouse, Playground",West,Owner,Under_Construction
21965,Delhi,Dwarka,Locality_436,Apartment,5,874,211.29,0.24,2001,Semi-furnished,25,16,24,5,4,Low,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",South,Builder,Ready_to_Move
55459,Chhattisgarh,Raipur,Locality_475,Apartment,4,3853,378.17,0.1,2010,Semi-furnished,28,10,15,5,5,Low,Yes,Yes,"Playground, Garden, Clubhouse, Gym",North,Builder,Under_Construction
214301,Tamil Nadu,Coimbatore,Locality_461,Apartment,5,3346,110.28,0.03,2004,Furnished,18,11,21,1,2,High,No,Yes,Garden,East,Owner,Ready_to_Move
122553,Uttarakhand,Dehradun,Locality_130,Independent House,4,3360,466.0,0.14,2004,Furnished,1,9,21,2,3,Low,Yes,No,"Clubhouse, Pool, Playground, Garden",South,Broker,Under_Construction
116920,Jharkhand,Ranchi,Locality_451,Villa,5,4236,483.21,0.11,1990,Semi-furnished,28,17,35,5,8,Medium,No,Yes,"Playground, Garden",East,Owner,Ready_to_Move
147997,Haryana,Faridabad,Locality_278,Apartment,5,1811,61.06,0.03,2006,Unfurnished,10,26,19,1,7,Low,No,Yes,"Playground, Pool",South,Owner,Under_Construction
83269,Telangana,Hyderabad,Locality_445,Villa,1,1144,260.53,0.23,2015,Unfurnished,8,3,10,8,8,Low,No,Yes,"Pool, Clubhouse, Gym, Playground",East,Broker,Under_Construction
28235,Telangana,Warangal,Locality_120,Villa,3,1258,26.18,0.02,1999,Semi-furnished,28,29,26,5,7,Low,No,Yes,"Garden, Pool",West,Broker,Under_Construction
81287,Chhattisgarh,Bilaspur,Locality_73,Villa,4,2577,353.29,0.14,1992,Semi-furnished,19,15,33,2,5,High,Yes,Yes,"Gym, Playground, Garden, Clubhouse, Pool",West,Owner,Under_Construction
70429,Odisha,Bhubaneswar,Locality_333,Apartment,2,4253,434.29,0.1,2004,Furnished,25,11,21,7,2,Low,Yes,Yes,"Gym, Pool",South,Builder,Ready_to_Move
224080,Maharashtra,Nagpur,Locality_315,Villa,4,4296,274.2,0.06,2011,Unfurnished,8,28,14,4,7,Low,Yes,No,"Playground, Gym, Garden, Clubhouse",East,Broker,Ready_to_Move
216702,Chhattisgarh,Bilaspur,Locality_496,Independent House,2,2396,317.53,0.13,2005,Furnished,24,7,20,5,9,High,Yes,Yes,"Playground, Pool, Garden, Gym, Clubhouse",North,Broker,Ready_to_Move
141653,Kerala,Kochi,Locality_65,Villa,5,2226,464.59,0.21,1994,Semi-furnished,2,26,31,6,9,Medium,No,Yes,"Clubhouse, Pool, Playground",East,Builder,Under_Construction
200666,Karnataka,Mangalore,Locality_275,Villa,3,2810,122.42,0.04,2006,Unfurnished,4,1,19,7,7,High,No,No,"Gym, Garden, Clubhouse",South,Broker,Ready_to_Move
164792,Haryana,Faridabad,Locality_428,Apartment,2,3244,88.65,0.03,2008,Semi-furnished,23,5,17,3,4,Medium,No,No,"Gym, Clubhouse, Playground",North,Broker,Ready_to_Move
31888,Delhi,Dwarka,Locality_466,Villa,4,3217,73.77,0.02,2013,Unfurnished,16,3,12,6,7,High,Yes,No,"Gym, Clubhouse",East,Owner,Under_Construction
176287,Karnataka,Mangalore,Locality_59,Independent House,2,2130,367.38,0.17,2000,Semi-furnished,25,3,25,2,5,High,Yes,Yes,Clubhouse,East,Builder,Ready_to_Move
231813,Punjab,Amritsar,Locality_418,Apartment,5,2567,29.52,0.01,2023,Furnished,9,10,2,7,9,High,Yes,No,"Playground, Garden",South,Builder,Under_Construction
153701,Maharashtra,Nagpur,Locality_328,Independent House,1,1088,183.06,0.17,2020,Unfurnished,4,10,5,4,8,Medium,No,No,"Gym, Playground",West,Builder,Ready_to_Move
60534,Uttar Pradesh,Lucknow,Locality_388,Independent House,1,3318,299.69,0.09,2021,Furnished,27,14,4,8,5,Medium,No,No,"Playground, Pool, Gym, Clubhouse, Garden",North,Broker,Ready_to_Move
207716,Rajasthan,Jodhpur,Locality_285,Villa,1,1616,400.95,0.25,1994,Unfurnished,4,19,31,10,9,High,Yes,No,"Playground, Garden",North,Broker,Under_Construction
163595,Maharashtra,Pune,Locality_148,Apartment,5,3134,211.6,0.07,2022,Semi-furnished,2,22,3,3,9,Low,No,No,"Garden, Playground, Pool, Gym, Clubhouse",South,Broker,Ready_to_Move
37991,Telangana,Warangal,Locality_200,Independent House,2,2034,282.57,0.14,2018,Unfurnished,8,3,7,10,3,Low,Yes,No,"Playground, Gym, Pool, Clubhouse",South,Builder,Under_Construction
99879,Uttarakhand,Dehradun,Locality_29,Villa,1,1751,232.4,0.13,2013,Unfurnished,11,7,12,8,1,Low,No,No,Garden,North,Owner,Ready_to_Move
84586,Uttarakhand,Haridwar,Locality_315,Villa,3,658,362.47,0.55,1997,Unfurnished,27,30,28,9,5,Medium,No,Yes,Playground,West,Broker,Under_Construction
25574,Telangana,Warangal,Locality_324,Apartment,3,1590,493.94,0.31,2017,Unfurnished,24,17,8,6,9,High,No,Yes,Gym,East,Broker,Under_Construction
5323,Haryana,Faridabad,Locality_323,Apartment,3,2369,218.99,0.09,2010,Furnished,21,18,15,6,1,Low,No,Yes,"Gym, Playground, Pool, Garden",East,Owner,Under_Construction
157620,Haryana,Gurgaon,Locality_104,Independent House,3,2973,297.3,0.1,2020,Semi-furnished,28,13,5,2,9,High,No,Yes,Playground,East,Builder,Ready_to_Move
213519,Madhya Pradesh,Bhopal,Locality_453,Apartment,4,4711,136.08,0.03,1993,Unfurnished,10,25,32,6,4,Medium,No,Yes,"Garden, Gym, Playground",South,Broker,Ready_to_Move
30730,Chhattisgarh,Bilaspur,Locality_120,Villa,5,4474,317.7,0.07,2017,Semi-furnished,7,1,8,4,2,High,Yes,Yes,"Gym, Playground, Pool",South,Broker,Under_Construction
153809,West Bengal,Durgapur,Locality_222,Independent House,1,3265,164.66,0.05,1990,Semi-furnished,9,21,35,2,7,High,No,Yes,"Pool, Garden, Clubhouse, Playground",North,Broker,Ready_to_Move
119673,Haryana,Gurgaon,Locality_412,Villa,5,2217,95.53,0.04,2013,Semi-furnished,1,20,12,8,3,High,Yes,Yes,"Garden, Playground, Clubhouse",North,Builder,Under_Construction
30570,Tamil Nadu,Chennai,Locality_469,Independent House,3,2365,115.69,0.05,2016,Furnished,29,29,9,8,5,Low,Yes,Yes,"Pool, Garden",South,Owner,Under_Construction
242337,Uttar Pradesh,Lucknow,Locality_314,Villa,4,4709,133.84,0.03,2002,Unfurnished,10,19,23,1,5,High,No,No,"Pool, Playground, Gym",South,Builder,Under_Construction
209467,Kerala,Trivandrum,Locality_68,Apartment,2,701,46.3,0.07,2018,Furnished,2,30,7,1,8,High,No,No,"Playground, Gym, Clubhouse, Garden",East,Broker,Ready_to_Move
131349,Andhra Pradesh,Vishakhapatnam,Locality_162,Villa,3,3212,65.21,0.02,2016,Unfurnished,28,16,9,5,2,Low,Yes,Yes,"Gym, Clubhouse, Pool, Garden",East,Builder,Ready_to_Move
259,Uttar Pradesh,Lucknow,Locality_188,Villa,5,4969,321.24,0.06,2006,Unfurnished,13,15,19,4,5,High,Yes,No,"Pool, Gym, Clubhouse",West,Owner,Ready_to_Move
152803,Haryana,Faridabad,Locality_258,Apartment,5,3086,288.77,0.09,2019,Semi-furnished,15,25,6,10,1,Medium,No,No,"Pool, Clubhouse, Gym",West,Broker,Under_Construction
96309,Chhattisgarh,Raipur,Locality_328,Villa,1,2220,399.9,0.18,2023,Unfurnished,27,27,2,10,9,Low,No,Yes,Gym,East,Broker,Ready_to_Move
219684,Punjab,Amritsar,Locality_327,Independent House,3,4789,409.49,0.09,2004,Semi-furnished,28,13,21,5,6,Medium,Yes,No,"Garden, Gym, Playground, Clubhouse",West,Builder,Under_Construction
242534,Assam,Silchar,Locality_354,Villa,5,1331,159.96,0.12,1998,Semi-furnished,9,18,27,5,9,High,No,Yes,"Pool, Playground, Gym, Garden",East,Builder,Ready_to_Move
47223,Kerala,Kochi,Locality_375,Independent House,5,2736,488.84,0.18,1990,Furnished,17,7,35,3,7,Low,Yes,Yes,Clubhouse,East,Broker,Ready_to_Move
239339,Uttar Pradesh,Lucknow,Locality_177,Independent House,2,2918,430.88,0.15,2005,Furnished,18,2,20,3,7,Low,No,No,"Clubhouse, Playground, Pool, Gym",East,Broker,Under_Construction
58777,Gujarat,Surat,Locality_451,Independent House,1,2026,247.34,0.12,1998,Semi-furnished,21,19,27,3,6,High,Yes,No,"Garden, Pool",North,Owner,Under_Construction
40564,Delhi,New Delhi,Locality_22,Independent House,1,3305,83.02,0.03,2019,Furnished,29,15,6,5,8,Medium,Yes,No,Garden,South,Builder,Under_Construction
159104,Uttar Pradesh,Noida,Locality_217,Apartment,1,4983,445.28,0.09,1999,Furnished,26,4,26,8,9,Medium,No,No,"Playground, Clubhouse, Pool, Garden",South,Builder,Under_Construction
211221,Chhattisgarh,Raipur,Locality_3,Villa,1,1564,337.0,0.22,2021,Unfurnished,14,4,4,9,8,Medium,Yes,Yes,Pool,South,Builder,Under_Construction
52100,Telangana,Warangal,Locality_235,Independent House,2,3618,395.73,0.11,1999,Furnished,27,7,26,3,4,Low,Yes,Yes,"Gym, Playground, Clubhouse, Pool, Garden",East,Broker,Ready_to_Move
120276,Delhi,New Delhi,Locality_366,Villa,2,3366,78.29,0.02,2008,Furnished,18,19,17,1,5,High,Yes,Yes,"Gym, Playground, Pool, Garden",West,Owner,Under_Construction
184535,Bihar,Patna,Locality_165,Villa,1,4912,182.53,0.04,2001,Furnished,27,21,24,1,1,Low,No,No,"Gym, Clubhouse, Garden, Pool, Playground",South,Broker,Ready_to_Move
176881,Jharkhand,Ranchi,Locality_192,Villa,4,4791,490.72,0.1,1995,Unfurnished,17,16,30,7,5,High,Yes,Yes,"Gym, Garden, Clubhouse, Pool",North,Builder,Under_Construction
6026,Rajasthan,Jaipur,Locality_286,Apartment,1,1517,129.26,0.09,2000,Furnished,27,23,25,4,6,High,No,Yes,"Playground, Gym, Pool",South,Owner,Ready_to_Move
